texte,niveau,category,classification,risk_decision,origin,year,month,maroc_relevant,source
"Salmonella spp. in sesame seeds from Nigeria | nuts, nut products and seeds | Salmonella   - {pathogenic micro-organisms} | Nigeria",CRITIQUE,"nuts, nut products and seeds",border rejection notification,serious,Nigeria,2026,5,1,RASFF
Tebufenpyrad in Zingiber officinale extract from Italy | herbs and spices | tebufenpyrad   - {pesticide residues} | China,CRITIQUE,herbs and spices,alert notification,serious,China,2026,5,1,RASFF
Beans Kenya Pesticide Residue | fruits and vegetables | flutriafol   - {pesticide residues} | Kenya,CRITIQUE,fruits and vegetables,border rejection notification,not serious,Kenya,2026,5,1,RASFF
Dragon Fruit Vietnam Pesticide Residu | fruits and vegetables | iprodione   - {pesticide residues} | Vietnam,CRITIQUE,fruits and vegetables,border rejection notification,not serious,Vietnam,2026,5,1,RASFF
Salmonella spp. in salted and dried fish from Thailand | fish and fish products | Salmonella spp.  - {pathogenic micro-organisms} | Thailand,CRITIQUE,fish and fish products,alert notification,serious,Thailand,2026,5,1,RASFF
"Aflatoxin in pistachios from the USA, via the United Arab Emirates | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | United States",CRITIQUE,"nuts, nut products and seeds",border rejection notification,serious,United States,2026,5,1,RASFF
"Aflatoxins in pistachios from US via Jordan to Belgium and Germany | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | United States",CRITIQUE,"nuts, nut products and seeds",alert notification,potentially serious,United States,2026,5,1,RASFF
"Salmonella and ochratoxin A in pistachio nuts via Sweden. | nuts, nut products and seeds | Salmonella   - {pathogenic micro-organisms},Salmonella Liverpool  - {pathogenic micro-organisms},ochratoxin A   - {mycotoxins} | Sweden",CRITIQUE,"nuts, nut products and seeds",alert notification,serious,Sweden,2026,5,1,RASFF
"Aflatoxine B1 in Groundnut from Argentina | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Argentina",CRITIQUE,"nuts, nut products and seeds",information notification for attention,serious,Argentina,2026,5,1,RASFF
"Aflatoxins in peanut kernels from the United States | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins} | United States",CRITIQUE,"nuts, nut products and seeds",border rejection notification,potentially serious,United States,2026,5,1,RASFF
"Aflatoxins above the permitted limits in pistachios from the USA shipped to Turkey/ Aflatossine oltre i limiti consenti origine in pistacchi origine Usa spedizione Turchia | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | United States",CRITIQUE,"nuts, nut products and seeds",border rejection notification,serious,United States,2026,5,1,RASFF
Foreign object: small metal fragments in cod nuggets | fish and fish products |  | Netherlands,CRITIQUE,fish and fish products,alert notification,serious,Netherlands,2026,5,1,RASFF
Undeclared allergen (sulphur dioxide) in dried apricots from Uzbekistan | fruits and vegetables | sulphite  undeclared - {allergens} | Uzbekistan,CRITIQUE,fruits and vegetables,information notification for attention,serious,Uzbekistan,2026,5,1,RASFF
Elevated level of coumarin in a Granola Cereal Product | cereals and bakery products | coumarin  too high content - {composition} | United Kingdom (Northern Ireland),INFO,cereals and bakery products,information notification for attention,not serious,United Kingdom (Northern Ireland),2026,5,1,RASFF
 Exceed level of Ochratoxin A 62 ± 32 µg/kg in raisins from Uzbekistan | fruits and vegetables | ochratoxin A   - {mycotoxins} | Uzbekistan,CRITIQUE,fruits and vegetables,information notification for attention,serious,Uzbekistan,2026,5,1,RASFF
"Unauthorised novel food ingredient nicotinamide mononucleotide (NMN) in food suplements form the United Kingdom offered online for sale | dietetic foods, food supplements and fortified foods |  | United Kingdom",ATTENTION,"dietetic foods, food supplements and fortified foods",information notification for attention,potential risk,United Kingdom,2026,5,1,RASFF
"Aflatoxins in peanut powder from Uganda to the Netherlands. | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxins   - {mycotoxins} | Uganda",CRITIQUE,"nuts, nut products and seeds",alert notification,serious,Uganda,2026,5,1,RASFF
Anisakidae spp. larvae detected in mackerel (Scomber scombrus) from Norway. | fish and fish products | Anisakis simplex parasitic infestation with - {parasitic infestation} | Norway,INFO,fish and fish products,information notification for follow-up,not serious,Norway,2026,5,1,RASFF
"Aflatoxins in mini corn wafers from Slovakia, raw material from Hungary. | cereals and bakery products | aflatoxins   - {mycotoxins} | Hungary",CRITIQUE,cereals and bakery products,alert notification,serious,Hungary,2026,5,1,RASFF
"Aflatoxins in blanched, ground almonds from Spain | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Spain",CRITIQUE,"nuts, nut products and seeds",alert notification,serious,Spain,2026,5,1,RASFF
"Salmonella spp en brotes germinados procedentes de España // Salmonella spp. in sprouted seeds from Spain | nuts, nut products and seeds | Salmonella   - {non-pathogenic micro-organisms} | Spain",CRITIQUE,"nuts, nut products and seeds",information notification for attention,serious,Spain,2026,5,1,RASFF
"Aflatoxins and ochratoxin A in cayenne pepper from Turkey | herbs and spices | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins},ochratoxin A   - {mycotoxins} | Türkiye",CRITIQUE,herbs and spices,information notification for attention,serious,Türkiye,2026,5,1,RASFF
Depasire LMA acizi grasi trans in produsul napolitane glazurate cu ciocolata dinTurcia. /// Exceeding the MRL for trans fatty acids in the product chocolate-glazed wafers from Turkey | cereals and bakery products | trans fatty acids  too high content - {composition} | Türkiye,ATTENTION,cereals and bakery products,information notification for attention,potential risk,Türkiye,2026,5,1,RASFF
mercury in fresh swordfish fillets | fish and fish products | mercury   - {heavy metals} | Sri Lanka,CRITIQUE,fish and fish products,information notification for attention,serious,Sri Lanka,2026,5,1,RASFF
"aflatoxin B in sesame seed from the Netherlands  | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins} | Denmark",CRITIQUE,"nuts, nut products and seeds",alert notification,serious,Denmark,2026,5,1,RASFF
Clothianidin in rice from Pakistan | cereals and bakery products | clothianidin   - {pesticide residues} | Pakistan,CRITIQUE,cereals and bakery products,border rejection notification,not serious,Pakistan,2026,5,1,RASFF
Ochratoxin A in dried figs from Turkiye | fruits and vegetables | ochratoxin A   - {mycotoxins} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2026,5,1,RASFF
Presence of Anisakis spp in chilled smoked wild salmon from Poland | fish and fish products | Anisakis  parasitic infestation with - {parasitic infestation} | Poland,ATTENTION,fish and fish products,information notification for follow-up,potential risk,Poland,2026,5,1,RASFF
Chlorpyrifos in tomatoes from Egypt | fruits and vegetables | chlorpyrifos  unauthorised substance - {pesticide residues} | Egypt,CRITIQUE,fruits and vegetables,border rejection notification,potentially serious,Egypt,2026,5,1,RASFF
Acetamiprid in kaki from Spain | fruits and vegetables | acetamiprid   - {pesticide residues} | Spain,CRITIQUE,fruits and vegetables,information notification for attention,serious,Spain,2026,5,1,RASFF
Non declared allergens in Madar bisquits | cereals and bakery products |  | Iran,CRITIQUE,cereals and bakery products,alert notification,potentially serious,Iran,2026,5,1,RASFF
"Pesticides residues in fresh lychee Litchi chinensis  | fruits and vegetables | chlorantraniliprole   - {pesticide residues},chlorfenapyr   - {pesticide residues},dimethomorph   - {pesticide residues},fluopicolide   - {pesticide residues},iprodione   - {pesticide residues},lambda-cyhalothrin   - {pesticide residues},lufenuron   - {pesticide residues},propamocarb   - {pesticide residues},pyraclostrobin   - {pesticide residues},spirodiclofen unauthorised substance - {pesticide residues} | China",ATTENTION,fruits and vegetables,information notification for attention,potentially serious,China,2026,5,1,RASFF
Cadmium in mangosteen from Colombia | fruits and vegetables | cadmium   - {heavy metals} | Colombia,CRITIQUE,fruits and vegetables,information notification for attention,serious,Colombia,2026,5,1,RASFF
"Excessively high nickel content in pecan nuts from the Netherlands | nuts, nut products and seeds | nickel   - {heavy metals} | Denmark",INFO,"nuts, nut products and seeds",information notification for follow-up,not serious,Denmark,2026,5,1,RASFF
Allergen celery not declared on the label of dried vegetable mix produced in Hungary | fruits and vegetables | celery  undeclared - {allergens} | Hungary,CRITIQUE,fruits and vegetables,alert notification,serious,Hungary,2026,5,1,RASFF
Prochloraz in fresh lemon-lamas from Türkiye | fruits and vegetables | prochloraz   - {pesticide residues} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2026,5,1,RASFF
Indoxacarb in fresh tomatoes from Türkiye | fruits and vegetables | indoxacarb   - {pesticide residues} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2026,5,1,RASFF
Exceedance of carbendazim in long beans from Suriname | fruits and vegetables | carbendazim  unauthorised substance - {pesticide residues} | Suriname,CRITIQUE,fruits and vegetables,information notification for attention,serious,Suriname,2026,5,1,RASFF
Cadmio en aguacate de Perú // Cadmium in avocados from Peru | fruits and vegetables | cadmium   - {heavy metals} | Peru,CRITIQUE,fruits and vegetables,alert notification,serious,Peru,2026,5,1,RASFF
Fosthiazate in fresh peppers from Türkiye | fruits and vegetables | fosthiazate   - {pesticide residues} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2026,5,1,RASFF
"Aflatoxin in groundnuts from Peru | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Peru",CRITIQUE,"nuts, nut products and seeds",alert notification,serious,Peru,2026,5,1,RASFF
"Salmonella spp in Roasted Natural Almond Paste from Vietnam via Singapore | nuts, nut products and seeds |  | Vietnam",CRITIQUE,"nuts, nut products and seeds",alert notification,serious,Vietnam,2026,4,1,RASFF
Detection of cadmium in a batch of raspberry | fruits and vegetables | cadmium   - {heavy metals} | Serbia,CRITIQUE,fruits and vegetables,information notification for attention,serious,Serbia,2026,4,1,RASFF
"Presence of Melaleuca Quinquenervia as an essential oil in food supplement from France | dietetic foods, food supplements and fortified foods |  | France",CRITIQUE,"dietetic foods, food supplements and fortified foods",alert notification,serious,France,2026,4,1,RASFF
"Omethoate and dithiocarbamates residues in Barbary fig from Colombia | fruits and vegetables | dithiocarbamates   - {pesticide residues},omethoate   - {pesticide residues} | Colombia",CRITIQUE,fruits and vegetables,alert notification,potentially serious,Colombia,2026,4,1,RASFF
"azoxystrobin and prochloraz in pomegranate from Turkey | fruits and vegetables | Azoxystrobin   - {pesticide residues},prochloraz   - {pesticide residues} | Türkiye",CRITIQUE,fruits and vegetables,information notification for attention,serious,Türkiye,2026,4,1,RASFF
"Aflatoxines in groundnut kernels split from Argentina | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Argentina",CRITIQUE,"nuts, nut products and seeds",information notification for attention,serious,Argentina,2026,4,1,RASFF
"Aflatoxin in peanut splits (Argentina) | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Argentina",CRITIQUE,"nuts, nut products and seeds",information notification for attention,serious,Argentina,2026,4,1,RASFF
Salmonella in betel leaves from India | fruits and vegetables | Salmonella   - {pathogenic micro-organisms} | India,CRITIQUE,fruits and vegetables,border rejection notification,serious,India,2026,4,1,RASFF
"pesticide residues in red chilli peppers from Suriname | fruits and vegetables | carbendazim   - {pesticide residues},chlorfenapyr  unauthorised substance - {pesticide residues},diafenthiuron  unauthorised substance - {pesticide residues} | Suriname",CRITIQUE,fruits and vegetables,information notification for attention,serious,Suriname,2026,4,1,RASFF
Methomyl on pears from South Africa | fruits and vegetables | methomyl   - {pesticide residues} | South Africa,CRITIQUE,fruits and vegetables,alert notification,serious,South Africa,2026,4,1,RASFF
Exceeded MRL pesticide CHLORPROPHAM in oranges from Egypt / Depasire limita la pesticidul CHLORPROPHAM in portocalele din Egipt.  | fruits and vegetables | chlorpropham   - {pesticide residues} | Egypt,CRITIQUE,fruits and vegetables,border rejection notification,potentially serious,Egypt,2026,4,1,RASFF
Exceeded MRL pesticide CHLORPROPHAM in oranges from Egypt / Depasire limita la pesticidul CHLORPROPHAM in portocalele din Egipt. | fruits and vegetables | chlorpropham   - {pesticide residues} | Egypt,CRITIQUE,fruits and vegetables,border rejection notification,potentially serious,Egypt,2026,4,1,RASFF
Oxamyl in frozen strawberries from Egypt | fruits and vegetables | pesticide residues   - {pesticide residues} | Egypt,CRITIQUE,fruits and vegetables,information notification for attention,serious,Egypt,2026,4,1,RASFF
Acetamiprid in fresh Choisam from Thailand | fruits and vegetables | acetamiprid   - {pesticide residues} | Thailand,CRITIQUE,fruits and vegetables,information notification for attention,serious,Thailand,2026,4,1,RASFF
"Exceed maximum levels of pesticides residues: Imidacloprid-3,8 ± 1,4 mg/kg and  lambda-cihalothrin1,4 ± 0,6 mg/kg in fresh dill from Uzbekistan  | fruits and vegetables | imidacloprid   - {pesticide residues},lambda-cyhalothrin   - {pesticide residues} | Uzbekistan",CRITIQUE,fruits and vegetables,border rejection notification,serious,Uzbekistan,2026,4,1,RASFF
Phosphates and Polyphosphates in frozen plaice fillets (Pleuronectes platessa) fromthe Netherlands/ Fosfati e Polifosfati non dichiarati in filetti di platessa congelati dall'Olanda | fish and fish products | E 452 - polyphosphates  unauthorised - {food additives and flavourings} | Netherlands,INFO,fish and fish products,information notification for follow-up,not serious,Netherlands,2026,4,1,RASFF
Salmonella in Moringa poeder | herbs and spices | Salmonella   - {pathogenic micro-organisms} | Belgium,CRITIQUE,herbs and spices,alert notification,serious,Belgium,2026,4,1,RASFF
"Supera límites máximos Aflatoxina B1 y aflatoxinas totales en cacahuetes de China / higher than maximum level Aflatoxin B1 and total aflatoxins in peanuts from China | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | China",CRITIQUE,"nuts, nut products and seeds",border rejection notification,potentially serious,China,2026,4,1,RASFF
Consignment of fish was imported from Argentina without an official control at the border control post. | fish and fish products |  | Argentina,INFO,fish and fish products,information notification for follow-up,not serious,Argentina,2026,4,1,RASFF
ALIMENTO (NOCE DI ARECA) NON INCLUSO NELL'ELENCO DEI NOVEL FOOD AUTORIZZATI/FOOD (ARECA NUT) from Sri Lanka NOT INCLUDED IN THE LIST OF AUTHORIZED NOVEL FOODS | fruits and vegetables |  | Sri Lanka,CRITIQUE,fruits and vegetables,border rejection notification,potentially serious,Sri Lanka,2026,4,1,RASFF
"Morphardenafil in erection remedies from Estonia | dietetic foods, food supplements and fortified foods | caffeine  high content - {food additives and flavourings},morphardenafil unauthorised substance - {composition} | Estonia",CRITIQUE,"dietetic foods, food supplements and fortified foods",alert notification,potentially serious,Estonia,2026,4,1,RASFF
"RESIDUES OF UNAUTHORISED PESTICIDE, CHLORPYRIFOS, IN CUMIN POWDER FROM SYRIA | herbs and spices | chlorpyrifos  unauthorised substance - {pesticide residues} | Cyprus",CRITIQUE,herbs and spices,border rejection notification,potentially serious,Cyprus,2026,4,1,RASFF
Clothianidin above legal limits in rice from Pakistan | cereals and bakery products | clothianidin   - {pesticide residues} | Pakistan,CRITIQUE,cereals and bakery products,border rejection notification,potential risk,Pakistan,2026,4,1,RASFF
"Pesticide residues in cucumber | fruits and vegetables | etoxazole   - {pesticide residues},formetanate   - {pesticide residues} | Türkiye",CRITIQUE,fruits and vegetables,information notification for attention,serious,Türkiye,2026,4,1,RASFF
Exceeded of MRL of pesticide CHLORPROPHAM in oranges from Egypt | fruits and vegetables | chlorpropham   - {pesticide residues} | Egypt,CRITIQUE,fruits and vegetables,border rejection notification,potentially serious,Egypt,2026,4,1,RASFF
 Ochratoxin A in dried figs - diced  from Türkiye | fruits and vegetables | ochratoxin A   - {mycotoxins} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2026,4,1,RASFF
"presence of dimethylaminoethanol in a food supplement from the UK | dietetic foods, food supplements and fortified foods |  | United Kingdom",ATTENTION,"dietetic foods, food supplements and fortified foods",information notification for attention,potentially serious,United Kingdom,2026,4,1,RASFF
Depasire LMA fipronil in morcovi proaspeti origine Ucraina/Exceeding the MRL in carrots from Ukraine | fruits and vegetables | fipronil  unauthorised substance - {pesticide residues} | Ukraine,ATTENTION,fruits and vegetables,information notification for attention,potential risk,Ukraine,2026,4,1,RASFF
"acetamiprid and Indoxacarb in fresh tomatoes from Türkiye | fruits and vegetables | acetamiprid   - {pesticide residues},indoxacarb   - {pesticide residues} | Türkiye",CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2026,4,1,RASFF
"Ochratoxin A in pistachio cream from Italy | nuts, nut products and seeds | ochratoxin A   - {mycotoxins} | Italy",ATTENTION,"nuts, nut products and seeds",information notification for follow-up,potentially serious,Italy,2026,4,1,RASFF
"Tenuazonic acid in Hazelnut spread from Türkiye via Bulgaria | nuts, nut products and seeds | tenuazonic acid   - {mycotoxins} | Türkiye",ATTENTION,"nuts, nut products and seeds",information notification for follow-up,potential risk,Türkiye,2026,4,1,RASFF
Undeclared allergen (sesame) in cookies from Iran  | cereals and bakery products |  | Iran,CRITIQUE,cereals and bakery products,alert notification,serious,Iran,2026,4,1,RASFF
Undeclared sulphites in dried apricots | fruits and vegetables | E220- sulfur dioxide  undeclared - {allergens} | Tajikistan,CRITIQUE,fruits and vegetables,alert notification,serious,Tajikistan,2026,4,1,RASFF
 Abamectin in fresh peppers from Türkiye | fruits and vegetables | abamectin   - {pesticide residues} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2026,4,1,RASFF
3-MCPD and glycidol in snack product from Afghanistan via Belgium | cereals and bakery products | glycidyl esters   - {industrial contaminants} | Afghanistan,ATTENTION,cereals and bakery products,information notification for follow-up,potentially serious,Afghanistan,2026,4,1,RASFF
Exceed maximum levels of hydrocyanic acid 56 ± 17 mg/kg in apricot kernels from Afghanistan  | fruits and vegetables | cyanide  high content - {biological contaminants} | Afghanistan,CRITIQUE,fruits and vegetables,alert notification,serious,Afghanistan,2026,4,1,RASFF
pesticides in Korean yuzu imported via the Netherlands | fruits and vegetables | fenitrothion   - {pesticide residues} | South Korea,CRITIQUE,fruits and vegetables,alert notification,serious,South Korea,2026,4,1,RASFF
"Presencia de niveles de Ácido Cianhídirico (HCN) por encima del LMR en almendras procedentes de España // Presence of hydrocyanic acid (HCN) levels above the MRL in almonds from Spain. | nuts, nut products and seeds | cyanide  high content - {biological contaminants} | Spain",CRITIQUE,"nuts, nut products and seeds",alert notification,serious,Spain,2026,4,1,RASFF
"overdose of alpha-amylase following a change in the volume of the vial | dietetic foods, food supplements and fortified foods |  | France",CRITIQUE,"dietetic foods, food supplements and fortified foods",alert notification,potentially serious,France,2026,4,1,RASFF
Non declared sulfur dioxide i dried shallots | fruits and vegetables | E220- sulfur dioxide  undeclared - {allergens} | Sweden,CRITIQUE,fruits and vegetables,alert notification,potentially serious,Sweden,2026,4,1,RASFF
Ohratoxin A in dried figs from Türkiye | fruits and vegetables | ochratoxin A   - {mycotoxins} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2026,4,1,RASFF
Aflatoxins in dried figs from Turkiye | fruits and vegetables | aflatoxin total  - {mycotoxins} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2026,4,1,RASFF
