texte,niveau,category,classification,risk_decision,origin,year,month,maroc_relevant
"Salmonella spp. in sesame seeds from Nigeria | nuts, nut products and seeds | Salmonella   - {pathogenic micro-organisms} | Nigeria",CRITIQUE,"nuts, nut products and seeds",border rejection notification,serious,Nigeria,2026,5,1
"insufficient checks on and absence of certified analytical report for plastic kitchenware from China, dispatched from the United Kingdom | food contact materials |  | China",CRITIQUE,food contact materials,border rejection notification,not serious,China,2026,5,0
Kasturi Methi leaves from India | herbs and spices |  | India,CRITIQUE,herbs and spices,border rejection notification,potential risk,India,2026,5,1
Ginger garlic paste | other food product / mixed |  | India,CRITIQUE,other food product / mixed,border rejection notification,potential risk,India,2026,5,0
Salmonella derby in frozen turkey meat from Poland | poultry meat and poultry meat products | Salmonella Derby  - {pathogenic micro-organisms} | Poland,INFO,poultry meat and poultry meat products,information notification for follow-up,not serious,Poland,2026,5,0
Incorrect labeling of non-alcoholic beverages from Afghanistan | non-alcoholic beverages |  | Afghanistan,CRITIQUE,non-alcoholic beverages,border rejection notification,potential risk,Afghanistan,2026,5,0
Glass pieces in vanilla powder | cereals and bakery products |  | South Africa,ATTENTION,cereals and bakery products,information notification for attention,potentially serious,South Africa,2026,5,1
"Pesticides residues in Barbary fig from Colombia  | fruits and vegetables | cypermethrin   - {pesticide residues},dithiocarbamates   - {pesticide residues},omethoate   - {pesticide residues} | Colombia",CRITIQUE,fruits and vegetables,alert notification,serious,Colombia,2026,5,1
"Arsenic and cadmium in feed supplements for horses from Germany | feed materials | arsenic   - {heavy metals},cadmium   - {heavy metals} | Germany",ATTENTION,feed materials,information notification for attention,potential risk,Germany,2026,5,0
"Migration of cobalt from soup bowl from Japan, via the Netherlands | food contact materials | cobalt  too high content - {heavy metals} | Japan",ATTENTION,food contact materials,information notification for follow-up,potentially serious,Japan,2026,5,0
Too high migration of aluminium drinking bottles Bidon Jip | food contact materials | aluminium  increasing migration - {migration} | Spain,ATTENTION,food contact materials,information notification for follow-up,potential risk,Spain,2026,5,0
"Pesticides residues in chili peppers from Rwanda | fruits and vegetables | acetamiprid   - {pesticide residues},chlorpyrifos  unauthorised substance - {pesticide residues} | Rwanda",CRITIQUE,fruits and vegetables,border rejection notification,serious,Rwanda,2026,5,1
Too high migration of aluminium from drinking bottle | food contact materials | aluminium  migration - {composition} | unknown origin,ATTENTION,food contact materials,information notification for follow-up,potential risk,unknown origin,2026,5,0
Salmonella Enteritidis in environment of egg laying facility from Northern Ireland | eggs and egg products | Salmonella Enteritidis  - {pathogenic micro-organisms} | United Kingdom (Northern Ireland),ATTENTION,eggs and egg products,information notification for follow-up,potentially serious,United Kingdom (Northern Ireland),2026,5,0
Plastic blue pieces found in dog food  | pet food |  | Belgium,ATTENTION,pet food,information notification for follow-up,potential risk,Belgium,2026,5,0
Too much ochratoxin A in crushed paprika from Kosovo. | herbs and spices | ochratoxin A   - {mycotoxins} | Kosovo,CRITIQUE,herbs and spices,border rejection notification,serious,Kosovo,2026,5,1
"Nitrate in arugula from Italy, via the Netherlands | fruits and vegetables | nitrate  too high content - {environmental pollutants} | Italy",INFO,fruits and vegetables,information notification for attention,not serious,Italy,2026,5,1
Migration of primary aromatic amines from nylon kitchen utensils from China via France | food contact materials | primary aromatic amines  migration - {migration} | China,INFO,food contact materials,information notification for follow-up,not serious,China,2026,5,0
Falsification of the durability date on the label of fresh cheese from France | milk and milk products |  | France,ATTENTION,milk and milk products,information notification for attention,potentially serious,France,2026,5,0
Undeclared allergen in smoke-dried chicken from the Netherlands | poultry meat and poultry meat products |  | Netherlands,CRITIQUE,poultry meat and poultry meat products,alert notification,serious,Netherlands,2026,5,0
Clothianidin in rice from Pakistan | cereals and bakery products | clothianidin   - {pesticide residues} | Pakistan,CRITIQUE,cereals and bakery products,border rejection notification,not serious,Pakistan,2026,5,1
Salmonella in processed animal proteins (poultry meal) from the United Kingdom | feed materials | Salmonella   - {pathogenic micro-organisms} | United Kingdom,CRITIQUE,feed materials,border rejection notification,not serious,United Kingdom,2026,5,0
"Stwierdzenie przekroczenia NDP pozostałości pestycydu w ziarnie sezamu łuszczonego z Indii/// Detection of exceedance of the MRL for pesticide residues in peeled sesame seeds from India. | nuts, nut products and seeds | haloxyfop  unauthorised substance - {pesticide residues} | India",CRITIQUE,"nuts, nut products and seeds",border rejection notification,potential risk,India,2026,5,1
"Aflatoxines in groundnut Kernels splits from Argentina | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins} | Argentina",CRITIQUE,"nuts, nut products and seeds",alert notification,serious,Argentina,2026,5,1
Cadmium in frozen cuttlefish from India  | cephalopods and products thereof | cadmium   - {heavy metals} | India,CRITIQUE,cephalopods and products thereof,information notification for attention,serious,India,2026,5,0
"Hepatitis A Virus in a frozen berry mix from Serbia, via Germany | fruits and vegetables | hepatitis A virus   - {pathogenic micro-organisms} | Serbia",CRITIQUE,fruits and vegetables,alert notification,serious,Serbia,2026,5,1
wykryto obecność zanieczyszczeń fizycznych w wiśniach z amaretto /// the presence of foreign bodies (pieces of foil) was found in cherry jam from Poland | other food product / mixed | fragments plastic  - {foreign bodies} | Poland,ATTENTION,other food product / mixed,information notification for follow-up,potential risk,Poland,2026,5,0
Salmonella Infantis in frozen chicken minced meat and frozen mechanically separated chicken meat from Poland | poultry meat and poultry meat products | Salmonella infantis  - {pathogenic micro-organisms} | Poland,CRITIQUE,poultry meat and poultry meat products,alert notification,potentially serious,Poland,2026,5,0
"Migration of 4,4-diaminofenylmethaan from a skimmer from Germany | food contact materials | primary aromatic amines  migration - {migration} | Germany",INFO,food contact materials,information notification for follow-up,not serious,Germany,2026,5,0
Too high migration of aluminium from drinking bottle | food contact materials | aluminium  migration - {composition} | unknown origin,ATTENTION,food contact materials,information notification for follow-up,potential risk,unknown origin,2026,5,0
Lead pitted green olives from Morocco | fruits and vegetables | heavy metals   - {heavy metals} | Morocco,CRITIQUE,fruits and vegetables,information notification for attention,serious,Morocco,2026,5,1
Too high migration of aluminium from drinking bottle | food contact materials | aluminium  migration - {composition} | unknown origin,ATTENTION,food contact materials,information notification for follow-up,potential risk,unknown origin,2026,5,0
Antibiotic in raw goat milk from Belgium  | milk and milk products |  | Belgium,ATTENTION,milk and milk products,information notification for follow-up,potential risk,Belgium,2026,5,0
Stwierdzenie ciała obcego (szkła) w lodach Marletto /// foreign body (glass) in Marletto ice cream | ices and desserts |  | Netherlands,CRITIQUE,ices and desserts,alert notification,serious,Netherlands,2026,5,0
Beans Kenya Pesticide Residue | fruits and vegetables | flutriafol   - {pesticide residues} | Kenya,CRITIQUE,fruits and vegetables,border rejection notification,not serious,Kenya,2026,5,1
Listeria monocytogenes in chicken salad from Belgium | poultry meat and poultry meat products | Listeria monocytogenes  - {pathogenic micro-organisms} | Belgium,CRITIQUE,poultry meat and poultry meat products,alert notification,serious,Belgium,2026,5,0
Undeclared allergen peanut on Baklava from Germany | cereals and bakery products |  | Germany,CRITIQUE,cereals and bakery products,information notification for attention,serious,Germany,2026,5,1
Unauthorised use of Sodium benzoate (E211) and Potassium sorbate (E202) fish roe analogues from Ukraine | other food product / mixed |  | Ukraine,CRITIQUE,other food product / mixed,border rejection notification,not serious,Ukraine,2026,5,0
Monocrotophos in bottle gourds from India | fruits and vegetables | monocrotophos  unauthorised substance - {pesticide residues} | India,CRITIQUE,fruits and vegetables,border rejection notification,serious,India,2026,5,1
"Salmonella Stanley in instant noodle meal from Ukraine, via Poland | prepared dishes and snacks | Salmonella Stanley  - {pathogenic micro-organisms} | Ukraine",CRITIQUE,prepared dishes and snacks,alert notification,serious,Ukraine,2026,5,0
Toxinas ASP en vieiras procedentes del Reino Unido ////  ASP toxins in scallops from the United Kingdom | animal by-products |  | United Kingdom,CRITIQUE,animal by-products,information notification for attention,serious,United Kingdom,2026,5,0
Unauthorised pesticide fenobucarb in peppercorns from Bosnia and Herzegovina  via Slovenia | herbs and spices | fenobucarb   - {pesticide residues} | Vietnam,ATTENTION,herbs and spices,information notification for follow-up,potentially serious,Vietnam,2026,5,1
Norovirus in nori (roasted seaweed) | fruits and vegetables | norovirus   - {pathogenic micro-organisms} | South Korea,CRITIQUE,fruits and vegetables,information notification for attention,serious,South Korea,2026,5,1
Excessive nitrate content in Italian rucola via Hungary | fruits and vegetables | nitrate  too high content - {environmental pollutants} | Italy,INFO,fruits and vegetables,information notification for attention,not serious,Italy,2026,5,1
"Sensory changes observed in beef shin (Tafelspitz cut) from Germany | meat and meat products (other than poultry) | abnormal colour   - {organoleptic aspects},abnormal smell   - {organoleptic aspects} | Germany",ATTENTION,meat and meat products (other than poultry),information notification for attention,potential risk,Germany,2026,5,0
Bacillus cereus in ground cinnamon from Madagascar | herbs and spices | Bacillus cereus  - {pathogenic micro-organisms} | Madagascar,CRITIQUE,herbs and spices,alert notification,serious,Madagascar,2026,5,1
"Alérgeno no declarado (pescado) en complemento alimenticio procedente de España // Undeclared allergen (fish) in food supplement from Spain | dietetic foods, food supplements and fortified foods |  | Spain",CRITIQUE,"dietetic foods, food supplements and fortified foods",alert notification,serious,Spain,2026,5,1
Unauthorised colours in a cereal‑based product from Afghanistan | prepared dishes and snacks |  | Afghanistan,INFO,prepared dishes and snacks,information notification for follow-up,not serious,Afghanistan,2026,5,0
norovirus in oysters from France | bivalve molluscs and products thereof | norovirus   - {pathogenic micro-organisms} | France,INFO,bivalve molluscs and products thereof,information notification for attention,not serious,France,2026,5,0
"Aflatoxine B1 in groundnuts kernels | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Argentina",CRITIQUE,"nuts, nut products and seeds",information notification for attention,serious,Argentina,2026,5,1
Sudan IV in palm oil from Nigeria | fats and oils | Sudan  unauthorised colour - {composition} | Nigeria,CRITIQUE,fats and oils,information notification for attention,serious,Nigeria,2026,5,0
"Unauthorised novel food frozen snail meat of the genus Pomacea (or Pila) from Vietnam, via the Czech Republic | fish and fish products | import declaration missing  - {adulteration / fraud},novel food  unauthorised - {novel food} | Vietnam",ATTENTION,fish and fish products,information notification for follow-up,potential risk,Vietnam,2026,5,1
Shigatoxin producing Escherichia coli (STEC) in Bovine steak from Ireland | meat and meat products (other than poultry) | Escherichia coli shigatoxin-producing  - {pathogenic micro-organisms} | Ireland,ATTENTION,meat and meat products (other than poultry),information notification for attention,potentially serious,Ireland,2026,5,0
Eggs from a Dutch stable that tested positive for Salmonella | eggs and egg products |  | Netherlands,ATTENTION,eggs and egg products,information notification for follow-up,potentially serious,Netherlands,2026,5,0
"Aflatoxins in blanched groundnut kernels from China | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | China",CRITIQUE,"nuts, nut products and seeds",border rejection notification,serious,China,2026,5,1
"Unapproved novel food ingredient muscimol in gummy candies from Slovakia, via the Czech Republic | confectionery | muscimol unauthorised substance - {composition} | Slovakia",ATTENTION,confectionery,information notification for follow-up,potential risk,Slovakia,2026,5,0
"Aflatoxins in peanut powder from Uganda | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Uganda",ATTENTION,"nuts, nut products and seeds",information notification for attention,potentially serious,Uganda,2026,5,1
Consignment of processed petfood from Canada was not subjected to an official control at the border control post | pet food |  | Canada,INFO,pet food,information notification for follow-up,not serious,Canada,2026,5,0
przekroczenie NDP sumy alkaloidów pirolizydynowych w herbatce dla dzieci pochodzącej z Polski /// exceeding the MRL for the sum of pyrrolizidine alkaloids in children's tea from Poland | other food product / mixed | pyrrolizidine alkaloids   - {natural toxins (other)} | Poland,ATTENTION,other food product / mixed,information notification for attention,potentially serious,Poland,2026,5,0
Mould growth found on Village Bakery Crumpets from UK  | cereals and bakery products |  | United Kingdom,INFO,cereals and bakery products,information notification for attention,not serious,United Kingdom,2026,5,1
"MOAH in green peas, from the Philippines  | fruits and vegetables | mineral oil aromatic hydrocarbons (MOAH)  - {environmental pollutants} | Philippines",CRITIQUE,fruits and vegetables,information notification for attention,serious,Philippines,2026,5,1
Vibrio cholerae in shrimps from Ecuador | crustaceans and products thereof | Vibrio cholerae  - {pathogenic micro-organisms} | Ecuador,ATTENTION,crustaceans and products thereof,information notification for attention,potential risk,Ecuador,2026,5,0
Risk of foreign bodies (plastic) in spice mills containing pepper and garlic from Germany | herbs and spices |  | Germany,INFO,herbs and spices,information notification for follow-up,not serious,Germany,2026,5,1
Beans Kenya Pesticide Residue | fruits and vegetables | bifenthrin   - {pesticide residues} | Kenya,CRITIQUE,fruits and vegetables,border rejection notification,not serious,Kenya,2026,5,1
Monocrotophos in prickly pears from Mexico | fruits and vegetables | monocrotophos  unauthorised substance - {pesticide residues} | Mexico,CRITIQUE,fruits and vegetables,alert notification,serious,Mexico,2026,5,1
"Aflatoxin in groundnut kernels from Argentina | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins} | Argentina",CRITIQUE,"nuts, nut products and seeds",information notification for attention,serious,Argentina,2026,5,1
Shiga toxin-producing Escherichia coli (STEC) in raw milk cheese from France | milk and milk products | Escherichia coli shigatoxin-producing  - {pathogenic micro-organisms} | France,CRITIQUE,milk and milk products,alert notification,serious,France,2026,5,0
Detección de proteína de leche no declarada en etiquetado en galletas procedentes de España//Milk not declared on the Spanish label of salted crackers     | cereals and bakery products | milk  presence - {allergens} | Hungary,CRITIQUE,cereals and bakery products,information notification for attention,serious,Hungary,2026,5,1
Unapproved substance carbofuran in lime from Brazil via the Netherlands | fruits and vegetables | carbofuran   - {pesticide residues} | Brazil,CRITIQUE,fruits and vegetables,alert notification,serious,Brazil,2026,5,1
"nieautoryzowana  nowa żywność- mrożone liście  rośliny Pandanus  amaryllifolius//Unauthorized Novel Food - Frozen leaves of the Pandanus amaryllifolius plant, country of origin: Thailand/  | other food product / mixed |  | Thailand",CRITIQUE,other food product / mixed,border rejection notification,potentially serious,Thailand,2026,5,0
Listeria monocytogenes present in a ready to eat cheese board | prepared dishes and snacks | Listeria monocytogenes  - {pathogenic micro-organisms} | Netherlands,CRITIQUE,prepared dishes and snacks,alert notification,serious,Netherlands,2026,5,0
niezadeklarowany alergen (gluten) w cukrze kokosowym z Indonezji ///undeclared allergen (gluten) in coconut sugar from Indonesia | other food product / mixed | gluten  undeclared - {allergens} | Indonesia,INFO,other food product / mixed,information notification for follow-up,no risk,Indonesia,2026,5,0
"Peppers Egypt Pesticide Residue  | fruits and vegetables | chlorfenapyr  unauthorised substance - {pesticide residues},clothianidin   - {pesticide residues},imidacloprid   - {pesticide residues} | Egypt",CRITIQUE,fruits and vegetables,border rejection notification,serious,Egypt,2026,5,1
Tebufenpyrad in Zingiber officinale extract from Italy | herbs and spices | tebufenpyrad   - {pesticide residues} | China,CRITIQUE,herbs and spices,alert notification,serious,China,2026,5,1
Beans Kenya Pesticide Residue | fruits and vegetables | flutriafol   - {pesticide residues} | Kenya,CRITIQUE,fruits and vegetables,border rejection notification,not serious,Kenya,2026,5,1
Dragon Fruit Vietnam Pesticide Residu | fruits and vegetables | iprodione   - {pesticide residues} | Vietnam,CRITIQUE,fruits and vegetables,border rejection notification,not serious,Vietnam,2026,5,1
Salmonella spp. in salted and dried fish from Thailand | fish and fish products | Salmonella spp.  - {pathogenic micro-organisms} | Thailand,CRITIQUE,fish and fish products,alert notification,serious,Thailand,2026,5,1
unsuitable organoleptic aspects of beef from Germany | meat and meat products (other than poultry) | abnormal smell   - {organoleptic aspects} | Germany,INFO,meat and meat products (other than poultry),information notification for attention,not serious,Germany,2026,5,0
"unsuitable organoleptic aspects of beef from Germany | meat and meat products (other than poultry) | abnormal colour   - {organoleptic aspects},abnormal smell   - {organoleptic aspects} | Germany",INFO,meat and meat products (other than poultry),information notification for attention,not serious,Germany,2026,5,0
"unsuitable organoleptic aspects of beef from Germany | meat and meat products (other than poultry) | abnormal smell   - {organoleptic aspects},organoleptic characteristics unsuitable  - {organoleptic aspects} | Germany",INFO,meat and meat products (other than poultry),information notification for attention,not serious,Germany,2026,5,0
Salmonella in poultry meat from Brazil | poultry meat and poultry meat products | Salmonella   - {pathogenic micro-organisms} | Brazil,ATTENTION,poultry meat and poultry meat products,information notification for follow-up,potentially serious,Brazil,2026,5,0
Detection of Vibrio vulnificus in frozen raw wild-caught prawns | crustaceans and products thereof | Vibrio vulnificus  - {pathogenic micro-organisms} | India,CRITIQUE,crustaceans and products thereof,alert notification,serious,India,2026,5,0
Too high migration of aluminium from drinking bottle | food contact materials | aluminium  migration - {composition} | unknown origin,ATTENTION,food contact materials,information notification for attention,potential risk,unknown origin,2026,5,0
Insufficient proper veterinary inspection of chicken livers | poultry meat and poultry meat products | nematodes  parasitic infestation with - {parasitic infestation} | Poland,INFO,poultry meat and poultry meat products,non-compliance notification,no risk,Poland,2026,5,0
recall of oysters following a zone closure due to E. coli | bivalve molluscs and products thereof |  | France,CRITIQUE,bivalve molluscs and products thereof,alert notification,serious,France,2026,5,0
"Aflatoxin in pistachios from the USA, via the United Arab Emirates | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | United States",CRITIQUE,"nuts, nut products and seeds",border rejection notification,serious,United States,2026,5,1
Salmonella Infantis (in 2 out of 5 units) in marinated chicken mid-wing sections (barbecue marinade) from Poland | meat and meat products (other than poultry) | Salmonella infantis  - {pathogenic micro-organisms} | Poland,CRITIQUE,meat and meat products (other than poultry),information notification for attention,serious,Poland,2026,5,0
"Aflatoxins in pistachios from US via Jordan to Belgium and Germany | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | United States",CRITIQUE,"nuts, nut products and seeds",alert notification,potentially serious,United States,2026,5,1
"Salmonella and ochratoxin A in pistachio nuts via Sweden. | nuts, nut products and seeds | Salmonella   - {pathogenic micro-organisms},Salmonella Liverpool  - {pathogenic micro-organisms},ochratoxin A   - {mycotoxins} | Sweden",CRITIQUE,"nuts, nut products and seeds",alert notification,serious,Sweden,2026,5,1
"Salinomycin above MRL in compound feed for rabbits, from Czech Republic | compound feeds | salinomycin  too high content - {feed additives} | Czechia",ATTENTION,compound feeds,information notification for follow-up,potential risk,Czechia,2026,5,0
cbd in animal feed | pet food |  | Slovakia,ATTENTION,pet food,information notification for follow-up,potential risk,Slovakia,2026,5,0
"Aflatoxine B1 in Groundnut from Argentina | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Argentina",CRITIQUE,"nuts, nut products and seeds",information notification for attention,serious,Argentina,2026,5,1
"Aflatoxins in peanut kernels from the United States | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins} | United States",CRITIQUE,"nuts, nut products and seeds",border rejection notification,potentially serious,United States,2026,5,1
"Aflatoxins above the permitted limits in pistachios from the USA shipped to Turkey/ Aflatossine oltre i limiti consenti origine in pistacchi origine Usa spedizione Turchia | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | United States",CRITIQUE,"nuts, nut products and seeds",border rejection notification,serious,United States,2026,5,1
"Pesticide residues in tea from China | cocoa and cocoa preparations, coffee and tea | acetamiprid   - {pesticide residues},difenoconazole   - {pesticide residues},dinotefuran   - {pesticide residues},flonicamid   - {pesticide residues},lambda-cyhalothrin   - {pesticide residues} | China",CRITIQUE,"cocoa and cocoa preparations, coffee and tea",border rejection notification,not serious,China,2026,5,0
Foreign object: small metal fragments in cod nuggets | fish and fish products |  | Netherlands,CRITIQUE,fish and fish products,alert notification,serious,Netherlands,2026,5,1
"attempt to illegally import, poor temperature control and absence of labelling on various products of animal origin (meat, eggs and honey) from Moldova | other food product / mixed |  | Moldova",CRITIQUE,other food product / mixed,border rejection notification,not serious,Moldova,2026,5,0
"Glycidol Fatty Acid Esters and Sum of 3 MCPD and 3MPCD Esters exceeding the maximum level in Corn Snack  | prepared dishes and snacks | 3-monochlor-1,2-propanediol (3-MCPD)   - {industrial contaminants},glycidyl esters   - {industrial contaminants} | Thailand",ATTENTION,prepared dishes and snacks,information notification for attention,potential risk,Thailand,2026,5,0
Salmonella enteritidis in Bovine carcass from Germany | meat and meat products (other than poultry) | Salmonella Enteritidis  - {pathogenic micro-organisms} | Germany,ATTENTION,meat and meat products (other than poultry),information notification for follow-up,potentially serious,Germany,2026,5,0
Undeclared allergen (sulphur dioxide) in dried apricots from Uzbekistan | fruits and vegetables | sulphite  undeclared - {allergens} | Uzbekistan,CRITIQUE,fruits and vegetables,information notification for attention,serious,Uzbekistan,2026,5,1
Particles from terrestrial vertebrates in hydrolysed feather protein from the Netherlands | feed materials | meal meat and bone  - {TSEs} | Netherlands,ATTENTION,feed materials,information notification for follow-up,potential risk,Netherlands,2026,5,0
Elevated level of coumarin in a Granola Cereal Product | cereals and bakery products | coumarin  too high content - {composition} | United Kingdom (Northern Ireland),INFO,cereals and bakery products,information notification for attention,not serious,United Kingdom (Northern Ireland),2026,5,1
Presence of a metallic foreign object in certain   yogurts units | milk and milk products |  | France,CRITIQUE,milk and milk products,alert notification,serious,France,2026,5,0
Pesticide residue chlorpirifos in soya oil from Ukraine | feed materials | chlorpyrifos  unauthorised substance - {pesticide residues} | Ukraine,ATTENTION,feed materials,information notification for attention,potentially serious,Ukraine,2026,5,0
Salmonella spp w 25 g mięsa z indyka – sznycel z indyka (Escalope de dindonneau) // Salmonella spp in 25 g of turkey meat – turkey schnitzel from Poland | poultry meat and poultry meat products | Salmonella spp.  - {pathogenic micro-organisms} | Poland,ATTENTION,poultry meat and poultry meat products,information notification for follow-up,potential risk,Poland,2026,5,0
 Exceed level of Ochratoxin A 62 ± 32 µg/kg in raisins from Uzbekistan | fruits and vegetables | ochratoxin A   - {mycotoxins} | Uzbekistan,CRITIQUE,fruits and vegetables,information notification for attention,serious,Uzbekistan,2026,5,1
"Salmonella Infantis (1 out of 5 units) and Salmonella Agona (1 out of 5 units) in chicken fillet strips from Poland. | poultry meat and poultry meat products | Salmonella Agona  - {pathogenic micro-organisms},Salmonella infantis  - {pathogenic micro-organisms} | Poland",INFO,poultry meat and poultry meat products,information notification for attention,not serious,Poland,2026,5,0
"Unauthorised novel food ingredient nicotinamide mononucleotide (NMN) in food suplements form the United Kingdom offered online for sale | dietetic foods, food supplements and fortified foods |  | United Kingdom",ATTENTION,"dietetic foods, food supplements and fortified foods",information notification for attention,potential risk,United Kingdom,2026,5,1
"Aflatoxins in peanut powder from Uganda to the Netherlands. | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxins   - {mycotoxins} | Uganda",CRITIQUE,"nuts, nut products and seeds",alert notification,serious,Uganda,2026,5,1
Anisakidae spp. larvae detected in mackerel (Scomber scombrus) from Norway. | fish and fish products | Anisakis simplex parasitic infestation with - {parasitic infestation} | Norway,INFO,fish and fish products,information notification for follow-up,not serious,Norway,2026,5,1
Salmonella spp. in marinated chicken from Poland | poultry meat and poultry meat products | Salmonella   - {pathogenic micro-organisms} | Poland,CRITIQUE,poultry meat and poultry meat products,information notification for attention,serious,Poland,2026,5,0
"unauthorised pharmacologically active substances in pasteurised liquid egg product from Poland | eggs and egg products | doxycycline  unauthorised - {residues of veterinary medicinal products},enrofloxacin  unauthorised - {residues of veterinary medicinal products} | Poland",INFO,eggs and egg products,information notification for follow-up,not serious,Poland,2026,5,0
