texte,niveau,source
"Salmonella spp. in sesame seeds from Nigeria | nuts, nut products and seeds | Salmonella   - {pathogenic micro-organisms} | Nigeria",CRITIQUE,RASFF
"Aflatoxin in pistachios from the USA, via the United Arab Emirates | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | United States",CRITIQUE,RASFF
"Aflatoxins in pistachios from US via Jordan to Belgium and Germany | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | United States",CRITIQUE,RASFF
"Salmonella and ochratoxin A in pistachio nuts via Sweden. | nuts, nut products and seeds | Salmonella   - {pathogenic micro-organisms},Salmonella Liverpool  - {pathogenic micro-organisms},ochratoxin A   - {mycotoxins} | Sweden",CRITIQUE,RASFF
"Aflatoxine B1 in Groundnut from Argentina | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Argentina",CRITIQUE,RASFF
"Aflatoxins in peanut kernels from the United States | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins} | United States",CRITIQUE,RASFF
"Aflatoxins above the permitted limits in pistachios from the USA shipped to Turkey/ Aflatossine oltre i limiti consenti origine in pistacchi origine Usa spedizione Turchia | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | United States",CRITIQUE,RASFF
Foreign object: small metal fragments in cod nuggets | fish and fish products |  | Netherlands,CRITIQUE,RASFF
Undeclared allergen (sulphur dioxide) in dried apricots from Uzbekistan | fruits and vegetables | sulphite  undeclared - {allergens} | Uzbekistan,CRITIQUE,RASFF
Elevated level of coumarin in a Granola Cereal Product | cereals and bakery products | coumarin  too high content - {composition} | United Kingdom (Northern Ireland),INFO,RASFF
 Exceed level of Ochratoxin A 62 ± 32 µg/kg in raisins from Uzbekistan | fruits and vegetables | ochratoxin A   - {mycotoxins} | Uzbekistan,CRITIQUE,RASFF
"Unauthorised novel food ingredient nicotinamide mononucleotide (NMN) in food suplements form the United Kingdom offered online for sale | dietetic foods, food supplements and fortified foods |  | United Kingdom",ATTENTION,RASFF
"Aflatoxins in peanut powder from Uganda to the Netherlands. | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxins   - {mycotoxins} | Uganda",CRITIQUE,RASFF
Anisakidae spp. larvae detected in mackerel (Scomber scombrus) from Norway. | fish and fish products | Anisakis simplex parasitic infestation with - {parasitic infestation} | Norway,INFO,RASFF
"Aflatoxins in mini corn wafers from Slovakia, raw material from Hungary. | cereals and bakery products | aflatoxins   - {mycotoxins} | Hungary",CRITIQUE,RASFF
"Aflatoxins in blanched, ground almonds from Spain | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Spain",CRITIQUE,RASFF
"Salmonella spp en brotes germinados procedentes de España // Salmonella spp. in sprouted seeds from Spain | nuts, nut products and seeds | Salmonella   - {non-pathogenic micro-organisms} | Spain",CRITIQUE,RASFF
"Aflatoxins and ochratoxin A in cayenne pepper from Turkey | herbs and spices | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins},ochratoxin A   - {mycotoxins} | Türkiye",CRITIQUE,RASFF
Depasire LMA acizi grasi trans in produsul napolitane glazurate cu ciocolata dinTurcia. /// Exceeding the MRL for trans fatty acids in the product chocolate-glazed wafers from Turkey | cereals and bakery products | trans fatty acids  too high content - {composition} | Türkiye,ATTENTION,RASFF
mercury in fresh swordfish fillets | fish and fish products | mercury   - {heavy metals} | Sri Lanka,CRITIQUE,RASFF
"aflatoxin B in sesame seed from the Netherlands  | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins} | Denmark",CRITIQUE,RASFF
Clothianidin in rice from Pakistan | cereals and bakery products | clothianidin   - {pesticide residues} | Pakistan,CRITIQUE,RASFF
Ochratoxin A in dried figs from Turkiye | fruits and vegetables | ochratoxin A   - {mycotoxins} | Türkiye,CRITIQUE,RASFF
Presence of Anisakis spp in chilled smoked wild salmon from Poland | fish and fish products | Anisakis  parasitic infestation with - {parasitic infestation} | Poland,ATTENTION,RASFF
Chlorpyrifos in tomatoes from Egypt | fruits and vegetables | chlorpyrifos  unauthorised substance - {pesticide residues} | Egypt,CRITIQUE,RASFF
Acetamiprid in kaki from Spain | fruits and vegetables | acetamiprid   - {pesticide residues} | Spain,CRITIQUE,RASFF
Non declared allergens in Madar bisquits | cereals and bakery products |  | Iran,CRITIQUE,RASFF
"Pesticides residues in fresh lychee Litchi chinensis  | fruits and vegetables | chlorantraniliprole   - {pesticide residues},chlorfenapyr   - {pesticide residues},dimethomorph   - {pesticide residues},fluopicolide   - {pesticide residues},iprodione   - {pesticide residues},lambda-cyhalothrin   - {pesticide residues},lufenuron   - {pesticide residues},propamocarb   - {pesticide residues},pyraclostrobin   - {pesticide residues},spirodiclofen unauthorised substance - {pesticide residues} | China",ATTENTION,RASFF
Cadmium in mangosteen from Colombia | fruits and vegetables | cadmium   - {heavy metals} | Colombia,CRITIQUE,RASFF
"Excessively high nickel content in pecan nuts from the Netherlands | nuts, nut products and seeds | nickel   - {heavy metals} | Denmark",INFO,RASFF
Allergen celery not declared on the label of dried vegetable mix produced in Hungary | fruits and vegetables | celery  undeclared - {allergens} | Hungary,CRITIQUE,RASFF
Prochloraz in fresh lemon-lamas from Türkiye | fruits and vegetables | prochloraz   - {pesticide residues} | Türkiye,CRITIQUE,RASFF
Indoxacarb in fresh tomatoes from Türkiye | fruits and vegetables | indoxacarb   - {pesticide residues} | Türkiye,CRITIQUE,RASFF
Exceedance of carbendazim in long beans from Suriname | fruits and vegetables | carbendazim  unauthorised substance - {pesticide residues} | Suriname,CRITIQUE,RASFF
Cadmio en aguacate de Perú // Cadmium in avocados from Peru | fruits and vegetables | cadmium   - {heavy metals} | Peru,CRITIQUE,RASFF
Fosthiazate in fresh peppers from Türkiye | fruits and vegetables | fosthiazate   - {pesticide residues} | Türkiye,CRITIQUE,RASFF
"Aflatoxin in groundnuts from Peru | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Peru",CRITIQUE,RASFF
"Salmonella spp in Roasted Natural Almond Paste from Vietnam via Singapore | nuts, nut products and seeds |  | Vietnam",CRITIQUE,RASFF
Detection of cadmium in a batch of raspberry | fruits and vegetables | cadmium   - {heavy metals} | Serbia,CRITIQUE,RASFF
"Presence of Melaleuca Quinquenervia as an essential oil in food supplement from France | dietetic foods, food supplements and fortified foods |  | France",CRITIQUE,RASFF
"Omethoate and dithiocarbamates residues in Barbary fig from Colombia | fruits and vegetables | dithiocarbamates   - {pesticide residues},omethoate   - {pesticide residues} | Colombia",CRITIQUE,RASFF
"azoxystrobin and prochloraz in pomegranate from Turkey | fruits and vegetables | Azoxystrobin   - {pesticide residues},prochloraz   - {pesticide residues} | Türkiye",CRITIQUE,RASFF
"Aflatoxines in groundnut kernels split from Argentina | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Argentina",CRITIQUE,RASFF
"Aflatoxin in peanut splits (Argentina) | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Argentina",CRITIQUE,RASFF
Salmonella in betel leaves from India | fruits and vegetables | Salmonella   - {pathogenic micro-organisms} | India,CRITIQUE,RASFF
"pesticide residues in red chilli peppers from Suriname | fruits and vegetables | carbendazim   - {pesticide residues},chlorfenapyr  unauthorised substance - {pesticide residues},diafenthiuron  unauthorised substance - {pesticide residues} | Suriname",CRITIQUE,RASFF
Methomyl on pears from South Africa | fruits and vegetables | methomyl   - {pesticide residues} | South Africa,CRITIQUE,RASFF
Exceeded MRL pesticide CHLORPROPHAM in oranges from Egypt / Depasire limita la pesticidul CHLORPROPHAM in portocalele din Egipt.  | fruits and vegetables | chlorpropham   - {pesticide residues} | Egypt,CRITIQUE,RASFF
Exceeded MRL pesticide CHLORPROPHAM in oranges from Egypt / Depasire limita la pesticidul CHLORPROPHAM in portocalele din Egipt. | fruits and vegetables | chlorpropham   - {pesticide residues} | Egypt,CRITIQUE,RASFF
Oxamyl in frozen strawberries from Egypt | fruits and vegetables | pesticide residues   - {pesticide residues} | Egypt,CRITIQUE,RASFF
Acetamiprid in fresh Choisam from Thailand | fruits and vegetables | acetamiprid   - {pesticide residues} | Thailand,CRITIQUE,RASFF
"Exceed maximum levels of pesticides residues: Imidacloprid-3,8 ± 1,4 mg/kg and  lambda-cihalothrin1,4 ± 0,6 mg/kg in fresh dill from Uzbekistan  | fruits and vegetables | imidacloprid   - {pesticide residues},lambda-cyhalothrin   - {pesticide residues} | Uzbekistan",CRITIQUE,RASFF
Phosphates and Polyphosphates in frozen plaice fillets (Pleuronectes platessa) fromthe Netherlands/ Fosfati e Polifosfati non dichiarati in filetti di platessa congelati dall'Olanda | fish and fish products | E 452 - polyphosphates  unauthorised - {food additives and flavourings} | Netherlands,INFO,RASFF
Salmonella in Moringa poeder | herbs and spices | Salmonella   - {pathogenic micro-organisms} | Belgium,CRITIQUE,RASFF
"Supera límites máximos Aflatoxina B1 y aflatoxinas totales en cacahuetes de China / higher than maximum level Aflatoxin B1 and total aflatoxins in peanuts from China | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | China",CRITIQUE,RASFF
Consignment of fish was imported from Argentina without an official control at the border control post. | fish and fish products |  | Argentina,INFO,RASFF
ALIMENTO (NOCE DI ARECA) NON INCLUSO NELL'ELENCO DEI NOVEL FOOD AUTORIZZATI/FOOD (ARECA NUT) from Sri Lanka NOT INCLUDED IN THE LIST OF AUTHORIZED NOVEL FOODS | fruits and vegetables |  | Sri Lanka,CRITIQUE,RASFF
"Morphardenafil in erection remedies from Estonia | dietetic foods, food supplements and fortified foods | caffeine  high content - {food additives and flavourings},morphardenafil unauthorised substance - {composition} | Estonia",CRITIQUE,RASFF
"RESIDUES OF UNAUTHORISED PESTICIDE, CHLORPYRIFOS, IN CUMIN POWDER FROM SYRIA | herbs and spices | chlorpyrifos  unauthorised substance - {pesticide residues} | Cyprus",CRITIQUE,RASFF
Clothianidin above legal limits in rice from Pakistan | cereals and bakery products | clothianidin   - {pesticide residues} | Pakistan,CRITIQUE,RASFF
"Pesticide residues in cucumber | fruits and vegetables | etoxazole   - {pesticide residues},formetanate   - {pesticide residues} | Türkiye",CRITIQUE,RASFF
Exceeded of MRL of pesticide CHLORPROPHAM in oranges from Egypt | fruits and vegetables | chlorpropham   - {pesticide residues} | Egypt,CRITIQUE,RASFF
 Ochratoxin A in dried figs - diced  from Türkiye | fruits and vegetables | ochratoxin A   - {mycotoxins} | Türkiye,CRITIQUE,RASFF
"presence of dimethylaminoethanol in a food supplement from the UK | dietetic foods, food supplements and fortified foods |  | United Kingdom",ATTENTION,RASFF
Depasire LMA fipronil in morcovi proaspeti origine Ucraina/Exceeding the MRL in carrots from Ukraine | fruits and vegetables | fipronil  unauthorised substance - {pesticide residues} | Ukraine,ATTENTION,RASFF
"acetamiprid and Indoxacarb in fresh tomatoes from Türkiye | fruits and vegetables | acetamiprid   - {pesticide residues},indoxacarb   - {pesticide residues} | Türkiye",CRITIQUE,RASFF
"Ochratoxin A in pistachio cream from Italy | nuts, nut products and seeds | ochratoxin A   - {mycotoxins} | Italy",ATTENTION,RASFF
"Tenuazonic acid in Hazelnut spread from Türkiye via Bulgaria | nuts, nut products and seeds | tenuazonic acid   - {mycotoxins} | Türkiye",ATTENTION,RASFF
Undeclared allergen (sesame) in cookies from Iran  | cereals and bakery products |  | Iran,CRITIQUE,RASFF
Undeclared sulphites in dried apricots | fruits and vegetables | E220- sulfur dioxide  undeclared - {allergens} | Tajikistan,CRITIQUE,RASFF
 Abamectin in fresh peppers from Türkiye | fruits and vegetables | abamectin   - {pesticide residues} | Türkiye,CRITIQUE,RASFF
3-MCPD and glycidol in snack product from Afghanistan via Belgium | cereals and bakery products | glycidyl esters   - {industrial contaminants} | Afghanistan,ATTENTION,RASFF
Exceed maximum levels of hydrocyanic acid 56 ± 17 mg/kg in apricot kernels from Afghanistan  | fruits and vegetables | cyanide  high content - {biological contaminants} | Afghanistan,CRITIQUE,RASFF
pesticides in Korean yuzu imported via the Netherlands | fruits and vegetables | fenitrothion   - {pesticide residues} | South Korea,CRITIQUE,RASFF
"Presencia de niveles de Ácido Cianhídirico (HCN) por encima del LMR en almendras procedentes de España // Presence of hydrocyanic acid (HCN) levels above the MRL in almonds from Spain. | nuts, nut products and seeds | cyanide  high content - {biological contaminants} | Spain",CRITIQUE,RASFF
"overdose of alpha-amylase following a change in the volume of the vial | dietetic foods, food supplements and fortified foods |  | France",CRITIQUE,RASFF
Non declared sulfur dioxide i dried shallots | fruits and vegetables | E220- sulfur dioxide  undeclared - {allergens} | Sweden,CRITIQUE,RASFF
Ohratoxin A in dried figs from Türkiye | fruits and vegetables | ochratoxin A   - {mycotoxins} | Türkiye,CRITIQUE,RASFF
Aflatoxins in dried figs from Turkiye | fruits and vegetables | aflatoxin total  - {mycotoxins} | Türkiye,CRITIQUE,RASFF
Novel food non autorizzato: Olive congelate (Sp. Elaeocarpus serratus)/ unauthorised novel food frozen olives (Elaeocarpus serratus) from Bangladesh                  | fruits and vegetables |  | Bangladesh,CRITIQUE,RASFF
"Chlorothalonil and lufenuron in dragon fruit from Ecuador | fruits and vegetables | chlorothalonil   - {pesticide residues},lufenuron   - {pesticide residues} | Ecuador",ATTENTION,RASFF
"stwierdzenie chloropiryfosu w majeranku suszonym ////Chlorpyrifos detected in dried marjoram, country of origin: Egypt | herbs and spices | chlorpyrifos  unauthorised substance - {pesticide residues} | Egypt",CRITIQUE,RASFF
Unauthorised substance linuron in dried parsley from Germany | herbs and spices | linuron   - {pesticide residues} | Germany,CRITIQUE,RASFF
"Aflatoxins in peanuts from the United States | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | United States",CRITIQUE,RASFF
"Aflatoxins in peanuts from Uganda | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Uganda",CRITIQUE,RASFF
"Aflatoxins in walnut kernels from the United States | nuts, nut products and seeds | Aflatoxin   - {mycotoxins} | United States",ATTENTION,RASFF
"Incorrect official certificate in sesame seeds from Nigeria | nuts, nut products and seeds |  | Nigeria",CRITIQUE,RASFF
Ochratoxin A in dried figs from Turkiye | fruits and vegetables | ochratoxin A   - {mycotoxins} | Türkiye,CRITIQUE,RASFF
Nickel in asparagus from Spain  | fruits and vegetables | nickel   - {heavy metals} | Spain,ATTENTION,RASFF
"Unauthorized colorant Titanium dioxide (E171) in food supplements | dietetic foods, food supplements and fortified foods |  | Poland",ATTENTION,RASFF
Pesticides residues in chili peppers from Uganda | fruits and vegetables | cypermethrin   - {pesticide residues} | Uganda,CRITIQUE,RASFF
Cadmium in fresh garlic | fruits and vegetables | cadmium   - {heavy metals} | China,ATTENTION,RASFF
Pesticide residue in pineapple from Benin | fruits and vegetables | ethephon   - {pesticide residues} | Benin,CRITIQUE,RASFF
"Aflatoxin B1 in peanuts from Argentina | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Argentina",CRITIQUE,RASFF
Cadmium in garlic from China | fruits and vegetables | cadmium   - {heavy metals} | China,CRITIQUE,RASFF
Aflatoxins in red chili powder from Syria  | herbs and spices | Aflatoxin B1   - {mycotoxins} | Syria,CRITIQUE,RASFF
" Abamectin and  Pirimiphos-methyl in fresh peppers from Türkiye | fruits and vegetables | abamectin   - {pesticide residues},pirimiphos-methyl   - {pesticide residues} | Türkiye",CRITIQUE,RASFF
Temperature failure of frozen fish from Russia | fish and fish products |  | Russia,CRITIQUE,RASFF
"Aflatoxin B1 in Amazon nuts from Bolivia | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Bolivia",CRITIQUE,RASFF
"Overpressure in food supplement jar from Switzerland | dietetic foods, food supplements and fortified foods |  | Switzerland",ATTENTION,RASFF
MOAH in crackers from the Philippines | cereals and bakery products | mineral oil aromatic hydrocarbons (MOAH)  - {environmental pollutants} | Philippines,CRITIQUE,RASFF
Foreign object: plastic in organic apricot pieces from Uzbekistan  | fruits and vegetables |  | Uzbekistan,CRITIQUE,RASFF
"Aflatoxins in  groundnut kernels  from Argentina | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Argentina",CRITIQUE,RASFF
Unauthorized colour Sudan I in chili powder from Lebanon | herbs and spices | Sudan 1 unauthorised colour - {composition} | Lebanon,CRITIQUE,RASFF
"Salmonella spp in sesame seeds from Nigeria | nuts, nut products and seeds | Salmonella   - {pathogenic micro-organisms} | Nigeria",CRITIQUE,RASFF
Acetamiprid in raisins (dried grapes) | fruits and vegetables | acetamiprid   - {pesticide residues} | Türkiye,CRITIQUE,RASFF
Perchlorate in kale from Spain | fruits and vegetables | perchlorate   - {environmental pollutants} | Spain,CRITIQUE,RASFF
"PAH's in Herba Solidaginis from Poland | herbs and spices | benzo(a)pyrene   - {environmental pollutants},polycyclic aromatic hydrocarbons sum of  - {environmental pollutants} | Poland",CRITIQUE,RASFF
Elevated Level of Coumarin in a Granola Cereal Product | cereals and bakery products | coumarin  too high content - {composition} | United Kingdom (Northern Ireland),INFO,RASFF
Bacillus cereus in tomatoes from Türkiye | fruits and vegetables | Bacillus cereus  - {pathogenic micro-organisms} | Türkiye,ATTENTION,RASFF
Fosthiazate in potatoes from Greece | fruits and vegetables | fosthiazate   - {pesticide residues} | Greece,CRITIQUE,RASFF
"Aflatoxins in groundnutkernels from Argentina | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Argentina",CRITIQUE,RASFF
Plastic pieces in canned herring fillets from Poland. | fish and fish products |  | Poland,ATTENTION,RASFF
"Aflatoxins in dried figs from Turkiye | fruits and vegetables | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Türkiye",CRITIQUE,RASFF
"Aflatoxins in peanuts from Vietnam, via the Netherlands | fruits and vegetables | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Vietnam",CRITIQUE,RASFF
"Aflatoxins in roasted and salted pistachios from Turkey | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Türkiye",CRITIQUE,RASFF
"Elevated levels of Hydrocyanic acid in Brown Linseed | nuts, nut products and seeds | cyanide  high content - {biological contaminants} | Kazakhstan",CRITIQUE,RASFF
"High level of delta-9-THC in brownies from Czechia, via the United Kingdom | cereals and bakery products | cannabidiol (CBD)  unauthorised novel food ingredient - {novel food},tetrahydrocanabinol (THC)  unauthorised substance - {composition} | Czechia",CRITIQUE,RASFF
"Chlorpyrifos in chickpea flour from India | nuts, nut products and seeds | chlorpyrifos  unauthorised substance - {pesticide residues} | India",ATTENTION,RASFF
Listeria in frozen sugar snap peas | fruits and vegetables | Listeria monocytogenes  - {pathogenic micro-organisms} | Italy,INFO,RASFF
Listeria in frozen Edamame Soybeans  | fruits and vegetables | Listeria monocytogenes  - {pathogenic micro-organisms} | Italy,INFO,RASFF
"Przekroczenie NDP pestycydów chloropiryfosu i flutriafolu w dwóch ryżach basmati pochodzących z Pakistanu // Exceeding the MRLs of the pesticides chlorpyrifos and flutriafol in two basmati rice varieties from Pakistan | cereals and bakery products | chlorpyrifos  unauthorised substance - {pesticide residues},flutriafol   - {pesticide residues} | Pakistan",CRITIQUE,RASFF
Presence of Ochratoxin A in dried figs from Turkey | fruits and vegetables | ochratoxin A   - {mycotoxins} | Türkiye,CRITIQUE,RASFF
"AFLATOSSINE IN PISTACCHI SGUSCIATI/aflatoxins in shelled pistachios from Türkiye, US origin | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | United States",CRITIQUE,RASFF
Ochratoxin A in dried figs from Turkiye | fruits and vegetables | ochratoxin A   - {mycotoxins} | Türkiye,CRITIQUE,RASFF
"Exceeding the maximum amounts of vitamins B2, B6, D, biotin and zinc in food supplements | dietetic foods, food supplements and fortified foods |  | United States",CRITIQUE,RASFF
Fumonisina en Harina de Maiz BIO procedente de Italia // Fumonisin in organic maize flour from Italy | cereals and bakery products | fumonisins   - {mycotoxins} | Italy,CRITIQUE,RASFF
"Salmonella spp. in hulled sesame seeds from India | nuts, nut products and seeds | Salmonella   - {pathogenic micro-organisms} | India",CRITIQUE,RASFF
Ochratoxin A in dried figs from Türkiye | fruits and vegetables | ochratoxin A   - {mycotoxins} | Türkiye,CRITIQUE,RASFF
"stwierdzenie zapleśnienia w miąższu fig suszonych, pochodzących z Turcji/// detection of mold in the pulp of dried figs from Turkey | fruits and vegetables | microbiological contamination   - {non-pathogenic micro-organisms} | Türkiye",INFO,RASFF
Excess levels of rye ergot alkaloids in all-purpose wheat flour | cereals and bakery products | ergot alkaloids  - {natural toxins (other)} | France,CRITIQUE,RASFF
Foreign objects (hard plastic) in a box of organic apricots from Uzbekistan | fruits and vegetables |  | Uzbekistan,CRITIQUE,RASFF
"Salmonella spp. in pistachio cream from Türkiye | nuts, nut products and seeds | Salmonella spp.  - {pathogenic micro-organisms} | Türkiye",CRITIQUE,RASFF
